zip,lat,lon,city
36043,32.206441,-86.380464,HOPE HULL
36045,32.587631,-86.132981,KENT
36046,32.081409,-86.356906,LAPINE
36047,32.072616,-86.510331,LETOHATCHEE
36048,31.785579,-85.551104,LOUISVILLE
36049,31.754655,-86.291595,LUVERNE
36051,32.601807,-86.516424,MARBURY
36052,32.239196,-86.036354,MATHEWS
36053,32.092808,-85.704649,MIDWAY
36054,32.584717,-86.225602,MILLBROOK
36057,32.233377,-86.208528,MOUNT MEIGS
36061,32.092808,-85.704649,PEROTE
36062,31.74589,-86.323949,PETREY
36064,32.296092,-86.09259,PIKE ROAD
36065,32.072585,-86.060586,PINE LEVEL
36066,32.50919,-86.440879,PRATTVILLE
36067,32.540642,-86.658347,PRATTVILLE
36068,32.507893,-86.666272,PRATTVILLE
36069,32.089321,-86.174619,RAMER
36071,31.706155,-86.371489,RUTLEDGE
36072,31.826055,-85.166028,EUFAULA
36075,32.383939,-85.910123,SHORTER
36078,32.594995,-85.985078,TALLASSEE
36079,31.802786,-85.954983,TROY
36080,32.700393,-86.257604,TITUS
36081,31.869128,-85.966268,TROY
36082,31.816474,-85.964713,TROY
36083,32.372144,-85.66671,TUSKEGEE
36087,32.40926,-85.738032,TUSKEGEE INSTITUTE
36088,32.414501,-85.72525,TUSKEGEE INSTITUTE
36089,32.142191,-85.742406,UNION SPRINGS
36091,32.776052,-86.644088,VERBENA
36092,32.592659,-86.215304,WETUMPKA
36093,32.562179,-86.099371,WETUMPKA
36101,32.356988,-86.257817,MONTGOMERY
36102,32.233377,-86.208528,MONTGOMERY
36103,32.346158,-86.287316,MONTGOMERY
36104,32.373788,-86.289182,MONTGOMERY
36105,32.22558,-86.290586,MONTGOMERY
36106,32.353338,-86.257517,MONTGOMERY
36107,32.380587,-86.280718,MONTGOMERY
36108,32.340688,-86.37382,MONTGOMERY
36109,32.390547,-86.239667,MONTGOMERY
36110,32.441374,-86.253327,MONTGOMERY
36111,32.342438,-86.267317,MONTGOMERY
36112,32.374287,-86.345719,MONTGOMERY
36113,32.384587,-86.303868,MONTGOMERY
36114,32.403987,-86.253867,MONTGOMERY
36115,32.407587,-86.247417,MONTGOMERY
36116,32.285501,-86.228765,MONTGOMERY
36117,32.370048,-86.116486,MONTGOMERY
36118,32.233377,-86.208528,MONTGOMERY
36119,32.233377,-86.208528,MONTGOMERY
36120,32.233377,-86.208528,MONTGOMERY
36121,32.233377,-86.208528,MONTGOMERY
36123,32.233377,-86.208528,MONTGOMERY
36124,32.233377,-86.208528,MONTGOMERY
36125,32.233377,-86.208528,MONTGOMERY
36130,32.233377,-86.208528,MONTGOMERY
36131,32.233377,-86.208528,MONTGOMERY
36132,32.233377,-86.208528,MONTGOMERY
36133,32.233377,-86.208528,MONTGOMERY
36134,32.233377,-86.208528,MONTGOMERY
36135,32.233377,-86.208528,MONTGOMERY
36140,32.233377,-86.208528,MONTGOMERY
36141,32.233377,-86.208528,MONTGOMERY
36142,32.233377,-86.208528,MONTGOMERY
36177,32.233377,-86.208528,MONTGOMERY
36191,32.233377,-86.208528,MONTGOMERY
36201,33.759768,-85.792328,ANNISTON
36202,33.762195,-85.837828,ANNISTON
36203,33.725908,-85.899397,ANNISTON
36204,33.762195,-85.837828,ANNISTON
36205,33.735842,-85.793257,ANNISTON
36206,33.806783,-85.759952,ANNISTON
36207,33.720373,-85.753344,ANNISTON
36250,33.780861,-85.904456,ALEXANDRIA
36251,33.234539,-85.847477,ASHLAND
36253,33.762195,-85.837828,BYNUM
36254,33.657349,-85.699116,CHOCCOLOCCO
36255,33.193639,-85.745014,CRAGFORD
36256,33.022741,-85.696391,DAVISTON
36257,33.762195,-85.837828,DE ARMANVILLE
36258,33.418514,-85.711041,DELTA
36260,33.640094,-85.991753,EASTABOGA
36261,33.706595,-85.509902,EDWARDSVILLE
36262,33.779335,-85.463112,FRUITHURST
36263,33.456308,-85.369167,GRAHAM
36264,33.627166,-85.502022,HEFLIN
36265,33.853627,-85.758295,JACKSONVILLE
36266,33.340127,-85.789238,LINEVILLE
36267,33.18082,-85.941752,MILLERVILLE
36268,33.486183,-85.920854,MUNFORD
36269,33.729152,-85.394198,MUSCADINE
36270,33.42978,-85.468493,NEWELL
36271,33.807215,-85.905573,OHATCHEE
36272,33.827328,-85.795257,PIEDMONT
36273,33.565683,-85.38201,RANBURNE
36274,33.216876,-85.405707,ROANOKE
36275,33.977829,-85.552143,SPRING GARDEN
36276,33.207578,-85.480892,WADLEY
36277,33.81408,-85.835693,WEAVER
36278,33.318053,-85.498377,WEDOWEE
36279,33.866182,-85.87097,WELLINGTON
36280,33.351626,-85.372497,WOODLAND
36301,31.148124,-85.371845,DOTHAN
36302,31.156018,-85.355931,DOTHAN
36303,31.160148,-85.322984,DOTHAN
36304,31.156018,-85.355931,DOTHAN
